name,company,website_visits,pages_viewed,time_spent,email_opens,demo_requested,converted
Kevin Garcia,Mccall-Hendrix,20,8,136,0,0,0
Michelle Davenport,Gutierrez-Guerrero,11,8,208,7,0,1
David Hernandez,Olson LLC,2,8,20,2,0,0
Amanda Brown,"Price, Ryan and Jacobs",7,5,104,8,1,0
Jennifer Beard,"Robinson, Franklin and Collins",33,3,413,5,0,1
Patricia Werner,Swanson LLC,43,3,103,1,0,0
Sharon Harmon,"Ryan, Grant and Graves",1,16,409,0,0,1
April Lester,Barnett-Phillips,21,19,16,2,0,0
Angela Todd,Hunt-Pope,12,19,382,2,0,1
Felicia Hill,Williams-Knox,3,15,161,7,0,0
Amber Chapman,Harris-Phillips,46,7,120,6,1,1
Catherine Hall,Jordan-Perez,17,6,35,6,0,0
Jennifer Thompson,Willis-Smith,2,8,489,8,1,1
Wendy Fuentes,Daniel-Williams,15,2,403,2,0,1
Jenna Collins,"Burton, Kerr and Trevino",14,5,296,4,0,1
Michelle Mueller,Rodriguez-Gregory,49,8,165,9,0,1
Kathryn Garcia,"Johnson, Miles and Zavala",35,4,195,9,0,1
Leon Jackson,Wong-Swanson,10,7,226,2,0,1
Natasha Harris,Fernandez Inc,21,19,369,2,1,1
Wayne Schneider,Ramirez Group,28,17,486,0,0,1
Wayne Burton,"Clark, Jimenez and Brown",2,14,483,6,1,1
Jessica Mendoza,"Weaver, White and Nelson",34,3,162,9,1,1
Diana Small,"Baker, Case and Ritter",46,5,18,8,1,0
Stephanie Carr,Johnston-Clark,41,12,400,0,0,1
Mary Webb,"Wood, Strong and Nguyen",16,1,375,3,1,1
Katherine Olson,Vega-Solis,20,3,242,5,0,1
Jordan Pena,Hernandez-Collins,7,14,437,4,0,1
Robin Martinez,"Morales, Caldwell and Ward",14,19,104,4,0,0
Lauren Villarreal,"Singleton, Miles and Day",22,11,266,0,0,1
Julia Rosario,Wong PLC,17,5,45,1,0,0
Brittany Robinson,"Parker, Moss and Schmidt",23,8,74,0,0,0
Tiffany Garcia,"Oneill, Rodriguez and Norton",38,15,39,3,0,0
Donna Bell,Woodard-Johnson,40,10,485,4,0,1
Tim Cox,Short PLC,30,9,52,9,0,0
Sean Martin,King-Becker,42,19,196,8,0,1
Maria Smith,Lee PLC,17,13,133,7,0,0
David Sparks,Perez Group,35,8,334,7,0,1
Jason Johnson,"Crosby, Jackson and Sutton",19,19,210,3,0,1
Jacqueline Williams,"Lowery, Weiss and Taylor",42,5,329,3,0,1
Kristin Rich,Rodriguez-Wilson,9,16,373,0,0,1
Nicole Hendricks,"Perez, Charles and Kennedy",15,1,393,8,0,1
Suzanne Ayers,"Brown, Taylor and Wright",23,5,419,1,0,1
Kathryn Cabrera,"Carey, Thompson and Reynolds",19,15,74,8,0,0
Angel Gonzalez,Perry LLC,17,1,298,1,1,1
Joshua Powers,Newman Ltd,16,18,341,5,0,1
Jordan Burgess,Dalton-Perez,11,18,281,4,0,1
Robert Smith,"Martin, Hansen and Stewart",30,6,84,8,0,0
Colleen Barnes,Torres-Wall,36,3,477,1,0,1
Javier Henderson,Johnson-Brown,34,3,150,1,0,0
Latoya White,"Davis, Thompson and Glass",43,16,12,3,0,0
Edward Holden,Smith-Woods,18,7,271,4,1,1
Robert Henderson,Moore LLC,22,15,74,6,0,0
Scott Sims,"Sampson, Cobb and Moses",23,13,324,6,0,1
Lisa Ingram,Gibson PLC,40,11,25,6,0,0
Glen Zimmerman,"Parker, Edwards and Chambers",44,19,455,7,0,1
Laura Bell,"Carlson, Horn and Clark",11,10,43,5,0,0
Deanna Jackson,"Stevens, Oliver and Gutierrez",26,12,265,8,0,1
Brenda Miller,"Hopkins, Meadows and Schultz",3,14,403,7,0,1
James Leon,Williams Group,25,12,251,4,0,1
Tyler Clayton,Warren LLC,22,4,136,5,0,0
April Casey,"Taylor, Robertson and Harris",16,2,365,5,0,1
Colton Martinez,Williams-Trujillo,33,16,70,1,1,0
Danielle Jackson,"Smith, Patton and Aguilar",44,8,378,6,0,1
Kendra Terrell,Ford Group,12,12,58,2,0,0
Jessica Moore,Schroeder Group,47,2,413,1,0,1
Trevor Smith,Torres-Soto,38,14,28,6,0,0
Melissa Guerrero,Johnson-Bray,31,3,498,1,1,1
Monica Schwartz,Hill-Walker,25,12,437,2,0,1
Richard Williams,White-Anderson,38,3,451,2,0,1
Kari Baker,Wright PLC,42,17,471,1,0,1
Eric Glover,"Chandler, Frazier and Dougherty",36,12,324,9,0,1
Luke Smith,Whitney Group,23,9,163,6,0,0
Laura Davidson,"Cook, Roman and Mccann",40,4,492,2,0,1
Zachary Burke,Franklin-Bell,29,9,354,6,0,1
James Johnson,"Peters, Chandler and Lee",29,8,334,3,0,1
Antonio Wilson,"Hill, Townsend and Lawrence",29,2,391,7,1,1
Gregory White,Dunn Ltd,22,8,238,9,0,1
Deborah Perez,Massey-Vargas,5,17,86,1,0,0
Kristen Sandoval,Gardner Ltd,8,2,41,9,1,0
Tammy Kramer,"Pearson, Davis and Atkins",12,19,295,6,0,1
Tammy Curtis,Bentley-Johnson,34,3,204,3,0,1
Suzanne King,Williamson-Hammond,28,10,272,1,0,1
Tara Smith,Daniel Group,29,10,201,1,0,1
Jason Palmer,Smith PLC,6,17,123,8,1,0
Dana Wilson,Walls-Brown,20,11,347,5,1,1
Gregory Thomas,Sanders Group,46,14,357,5,0,1
Daniel Thornton,Barker-Price,46,1,198,4,1,1
Terri Sullivan,Holmes-Stanley,11,6,185,1,0,1
Stephen Turner,Williams-Stanton,33,1,16,2,0,0
William Griffin,"Shelton, Bauer and Day",39,7,207,9,0,1
Scott White,Garcia Group,24,19,283,7,0,1
Jack Patton,"Freeman, Gomez and Solis",7,4,487,0,0,1
Sandra King,Brown Group,24,1,499,2,0,1
Clinton Coleman MD,"Hunter, Simon and Roberts",29,13,226,0,0,1
Loretta Patrick,"Martin, Morales and Carrillo",28,14,153,0,0,0
Michael Mason,Delacruz and Sons,22,15,362,4,0,1
Debra Lowe,Morales and Sons,29,10,484,2,0,1
Shannon Lewis,"Payne, Mann and Harris",36,2,179,6,1,1
Gregory Williams,Thomas-Schneider,20,12,226,5,0,1
Jessica Gardner,Riddle PLC,7,18,439,0,0,1
Denise Scott,Soto Group,12,16,329,6,0,1
Ryan Brady,Kaiser Inc,47,8,275,4,0,1
Dr. Amanda Griffith,Oneill-Pollard,29,5,349,8,0,1
Tyrone Reynolds,Gardner-Gamble,41,15,108,3,0,0
John Waller,Bautista-Rocha,26,10,396,7,0,1
Peter Peters,"Davila, Wilcox and Hartman",31,19,67,8,0,0
Karen Reynolds,Hudson-Owen,43,14,151,6,0,1
Patricia Rhodes,Morris LLC,13,14,305,8,0,1
Jeffrey Cherry,"Sexton, Vasquez and Garcia",18,14,386,1,0,1
Ashlee Garcia,Atkinson LLC,46,13,237,5,0,1
Nicholas Davis,Neal-Baker,23,14,141,1,1,1
Sherri Gibson,"Cole, Harvey and Williams",19,15,19,2,0,0
Stacey Miller,Berg PLC,10,12,179,7,0,1
Sandra Long,Lopez Ltd,5,1,178,1,0,0
Roger Gonzalez,"Evans, Davies and Bishop",11,4,337,0,0,1
Kendra Williams,Baker Inc,46,7,188,1,0,1
Kelly Mclean,Morse LLC,33,6,275,6,0,1
Lisa King,Lopez Ltd,44,16,206,0,0,1
Sara Pearson,Johnson-Harris,16,9,81,4,0,0
Maria Buckley,Taylor-Walker,46,13,435,4,1,1
Aaron Ruiz,Lopez-Hughes,12,16,41,7,0,0
Melissa Arroyo,Jones Inc,11,15,39,3,1,0
Melissa Williams,Greene-Anderson,36,7,169,8,0,1
Russell Rojas,Miller-Wood,27,8,52,4,1,0
Ann Garcia,Jenkins Inc,27,1,72,3,0,0
Angel Tucker,Gonzalez-Smith,38,16,140,8,0,0
Monique Perez,"Li, Sherman and Kaufman",35,10,266,1,0,1
Kendra Price,"Elliott, Young and Malone",6,6,203,1,1,1
Jason Daniels,Brooks and Sons,28,18,361,0,0,1
Johnathan Smith,Kennedy Inc,19,12,224,1,1,1
Anthony Mitchell,"Anderson, Lane and Jones",37,13,137,0,0,0
Allen Kline,Hurst PLC,18,4,194,3,0,1
Sean Avery,Smith-Eaton,45,4,356,6,1,1
Bruce Mitchell,Kennedy Inc,28,10,141,9,0,0
Jennifer Walker,Alexander-Ortiz,14,6,323,9,1,1
Laura Gutierrez,Vargas-Byrd,38,6,226,6,0,1
Richard Ward,"Palmer, Rice and King",19,8,357,3,0,1
Sandra Cunningham,Lambert-Fields,47,14,111,7,0,0
Christopher Dixon,Hernandez Group,45,8,162,2,0,1
Joshua White,Robinson-Smith,49,1,305,0,0,1
Marie Cox,Brown and Sons,2,7,493,5,0,1
Elizabeth Cooley,Montgomery and Sons,1,9,405,4,0,1
Sheila Dean,"Williams, Williams and Johnson",33,10,34,0,0,0
Alex Brown,"Johnson, Walker and Bowman",46,14,399,2,0,1
James Carpenter,Wright-West,12,19,486,1,0,1
Joseph Robinson,Rodriguez and Sons,3,5,327,2,1,1
Katherine Gallagher,Whitaker-Landry,41,8,341,9,1,1
Isaac Matthews,Smith Group,37,9,347,7,0,1
Bailey Whitney,"Evans, Jones and Rodriguez",13,12,225,9,0,1
Felicia Gomez,Rice-Butler,18,4,172,0,0,0
Haley Ruiz,Choi-Rodriguez,16,18,313,0,0,1
Kristen Carter,King-Torres,42,17,57,8,0,0
Sarah Chapman,"Arnold, Scott and Skinner",33,18,238,6,1,1
Kristopher Hayes DDS,"Douglas, Boyd and Moore",40,14,496,8,0,1
Bethany Rodriguez,"Thomas, Barnes and Le",22,19,221,4,0,1
Steven Griffith,"Garcia, Fuller and Vang",43,8,13,3,0,0
Wesley Lopez,"Martinez, Arnold and Ramirez",31,17,151,3,0,0
Barbara Mcdonald,Simpson-Oliver,40,5,30,8,0,0
Johnny Anderson,Schneider PLC,30,5,409,8,0,1
David Miller,"Ortiz, Farley and Zimmerman",19,3,214,2,1,1
Kayla Cruz,"Cline, Werner and Hart",47,15,414,8,0,1
Stephanie Sanchez,Martinez-Young,32,13,271,7,1,1
April Leblanc,Anderson PLC,26,7,191,6,1,1
William Hall,"Vaughn, Nelson and Buchanan",12,8,383,0,0,1
Leah Trujillo MD,"Bailey, Martin and Brooks",33,12,260,9,0,1
Anthony Morgan,Brown and Sons,30,19,396,9,0,1
Henry Wagner,"Bradley, Barker and Neal",35,4,71,7,1,0
Stephanie Gray,"Noble, Blake and Marquez",47,6,103,2,0,0
Wendy Mason,Dunn Ltd,49,7,56,6,1,0
Robert Jones,Padilla Ltd,3,8,329,9,0,1
Robert Scott,Pham-Smith,33,9,449,0,0,1
Jeffrey Vargas,"Collins, Edwards and Powers",20,10,316,8,1,1
Rachel Barnes,"Hill, Stone and Williams",45,8,318,3,0,1
Greg Clayton,"Lee, Boyle and Allen",1,11,131,6,0,0
Jamie Barrera,Rowland PLC,27,14,310,0,1,1
Edwin Lee,Owens-Mccarthy,36,3,339,0,0,1
Paul Martin,Maxwell and Sons,49,6,375,2,1,1
Brian Walker,"Alexander, Rodriguez and Kirby",49,4,318,3,1,1
Jessica Stone,Davis-Smith,34,10,99,3,0,0
Jared Williams,Mosley LLC,11,4,317,9,0,1
Henry Steele MD,Walter-Ortega,1,17,348,6,0,1
Shawn Smith,Herring PLC,17,7,282,6,0,1
Joshua Johnson,Ortiz-Barnes,46,1,362,7,1,1
Daniel Shaffer,Mcdonald LLC,20,5,486,3,0,1
Julie Gonzalez,"Hall, Bradford and Sellers",12,16,266,3,0,1
Kelli Luna,"Ford, Allen and Moore",42,17,156,4,1,1
Tina Williams,Watts LLC,33,1,186,7,1,1
Nicholas Meyer,Wilkins-Davis,5,12,242,9,0,1
Peter Kim,Robertson Ltd,19,2,28,0,0,0
Matthew Mitchell,"Blankenship, Avery and Woods",14,4,185,4,1,1
Haley Torres,Ramirez-Rice,18,12,221,2,0,1
Carla Crawford,Hicks-Bates,6,2,411,2,0,1
Amanda Fowler,Reynolds LLC,36,12,57,5,1,0
Eric Nelson,Chapman LLC,20,5,344,9,0,1
David Williams,Ward PLC,33,15,328,2,0,1
Russell Garcia,Castaneda-Roberts,9,6,323,9,0,1
Joseph Franklin,Romero-Schwartz,21,11,69,9,0,0
Susan Sanchez,Sanchez-Gomez,18,13,343,8,1,1
Mary Hodge,"Griffin, Cohen and Perez",25,6,283,9,1,1
Sharon Compton,Gonzalez-Eaton,47,19,297,8,0,1
Sara Cowan,Knapp LLC,28,3,236,4,0,1
Keith Hopkins,"Harrell, Sellers and Snyder",35,12,279,3,0,1
Gordon Weaver,Johnson-Hammond,26,4,224,9,0,1
Christopher Campbell,Logan-Holmes,43,8,12,1,0,0
John Love,Nash-Duran,27,7,320,5,0,1
Matthew Dickerson,Pollard and Sons,20,3,336,5,1,1
Michael Manning,Morgan Inc,17,14,253,6,0,1
Victoria Clark,Clay-Rich,25,9,176,0,0,1
Jeffrey Waters,Jones-James,36,3,409,8,0,1
Richard Wagner,Watson and Sons,14,15,419,3,1,1
Lisa Butler,Davidson LLC,32,14,477,9,0,1
Paul Davis,Gamble PLC,18,15,140,0,0,0
Erik Randall,"Fisher, Castillo and Haney",31,6,225,3,0,1
Maurice Thomas,"Johnson, Johnson and Summers",5,14,174,4,0,0
Phillip Perez,Luna-King,8,1,484,8,1,1
David Ayala,"Ellis, Levy and Vargas",12,9,141,4,0,0
Jessica Hebert,"Gill, Hunter and Shaw",30,14,233,2,0,1
Michael Adams,Johnson Inc,5,18,192,1,1,1
Brittany Mckinney,Ellison-Patrick,40,4,198,1,0,1
Kelli Ramirez,Black LLC,17,11,273,2,0,1
Elizabeth Jenkins,Nguyen-Green,39,19,53,9,0,0
John Wilson,Smith-Jones,30,15,449,7,0,1
Abigail Saunders,"Barnes, Williams and Hubbard",24,16,46,0,0,0
Riley Ramirez,"Pineda, Dean and Norton",15,17,113,0,0,0
Kevin Barnett,"Trevino, Oliver and Jackson",43,7,86,3,1,0
Nancy Martin MD,Anderson-Crawford,5,17,487,9,0,1
Stephen Weber,Gomez LLC,3,15,207,5,0,1
Paul Garcia,Beck-Weiss,47,3,433,9,0,1
Anthony Walters,Taylor LLC,28,5,476,1,0,1
Dennis Jones,Garrett-Delgado,47,1,368,2,0,1
Joseph Sandoval,"Jones, Reynolds and Smith",14,13,425,3,0,1
Angela Fuentes,"Phillips, Johnson and Carrillo",25,10,204,4,1,1
Michael Francis,Chen Group,35,10,34,0,0,0
Bradley Garcia,Torres PLC,13,11,94,0,1,0
Stacey Beasley,Romero and Sons,13,17,495,5,1,1
Kimberly Lamb,Williams LLC,45,3,378,8,0,1
Melissa Stewart,Singleton and Sons,16,13,314,6,0,1
Samantha Boyd,"Contreras, Medina and Oneill",13,11,269,5,0,1
Kimberly Hood,Wilson-Barnett,6,3,442,7,0,1
Miguel Parker,Edwards-Green,13,4,91,6,0,0
Melissa Sanchez,Bishop-Knight,25,9,238,9,0,1
Vanessa Patel,Griffin PLC,43,19,152,7,0,1
Lisa Snyder,Chang-Hurst,34,18,283,5,0,1
Christopher Robinson,"Murphy, Mason and Harding",17,7,135,9,0,0
Sean Maxwell,"Obrien, Davenport and Grimes",10,7,313,6,0,1
Kevin Rodgers,Cook Inc,17,7,316,3,0,1
Deanna Phillips,Davis-Spencer,16,7,305,3,1,1
Joshua Nelson,Buchanan Ltd,48,19,320,7,0,1
Gina Flores,Pacheco and Sons,42,6,405,4,0,1
Diamond George,"Miller, Davis and Hickman",46,19,53,5,0,0
Howard Barrett,Butler-Watson,44,12,135,4,0,0
Michelle Duncan,Thompson Ltd,2,4,84,1,0,0
Justin Mckee,Mckinney LLC,48,2,158,3,0,1
Leslie Rogers,Wolfe-Salazar,23,6,415,4,0,1
David Clark,Martinez-Vargas,9,15,489,0,0,1
Jonathan Simmons,Carter and Sons,12,5,244,5,0,1
Destiny Doyle,"Jensen, Moore and Davidson",49,7,133,9,0,0
Stephanie Francis,"Lopez, King and Mcclain",32,5,74,2,0,0
Alex Kline,Mann Inc,36,14,484,7,1,1
Matthew Evans,Gordon-Ross,40,19,198,0,0,1
Casey Robinson,Patterson-Logan,43,2,45,4,0,0
Brandon Mays,"Hester, White and Hansen",15,4,95,1,0,0
Gregory Taylor,Yates Inc,44,18,350,6,0,1
Morgan Dunn,Dunn-Goodman,17,1,122,8,0,0
Jennifer Johnson,Collins and Sons,45,17,486,2,0,1
Ashley Hill,Atkins PLC,27,8,199,1,1,1
Jenny Cook,"Martin, Gomez and Armstrong",4,11,19,7,0,0
April Watson,Reid-Wright,44,4,411,6,0,1
Theresa Jones,Turner-Davis,24,7,250,1,1,1
Mario Heath,"Walters, Holmes and Garcia",40,7,61,3,0,0
Allison Hardy,Erickson-Vincent,11,14,345,7,0,1
Cory Ryan,"Warren, Ward and Villarreal",12,11,73,4,1,0
Casey Walker,"Winters, Hodge and Owens",2,18,54,9,0,0
Jonathan Torres,Gill-Mckee,24,16,349,2,0,1
Brian Navarro,"Schultz, Mullins and Mccarthy",6,8,19,4,0,0
Kathryn Griffin,Medina-Powers,20,8,386,5,0,1
Ann Anthony,Cook-Brown,35,15,108,8,0,0
Aaron Gonzales,Murray and Sons,22,13,485,1,0,1
Shelly Brennan,"Martinez, Manning and Harrison",47,19,436,2,0,1
Sharon Gonzalez,"Black, Perez and Booker",40,4,58,6,0,0
James Henderson,Hurst Group,38,7,329,4,0,1
Francisco Brown,Lester-Robbins,41,12,120,3,0,0
Charles Roberson,Terry-Foster,29,14,320,7,1,1
Frank Wheeler,Solomon LLC,49,2,59,1,0,0
Tammy Daniels,Nicholson Ltd,7,3,340,8,0,1
Michele Simpson,Delacruz PLC,38,12,64,8,0,0
Thomas Lang,Smith-Walker,17,8,309,0,0,1
David Wyatt,Hunt and Sons,4,3,113,9,1,0
Vanessa Chavez,Phelps Inc,40,18,10,1,0,0
Lisa Jennings,Bell-Eaton,36,5,228,3,1,1
Mary Lamb,"Lee, Lowery and Johnson",34,14,214,7,1,1
Anthony Rose,Smith-Velazquez,46,1,181,7,0,1
Derek Delgado,James Ltd,16,18,451,2,0,1
Amanda Gomez,Griffith-Young,38,10,482,9,0,1
Allen Johnson,Baird Ltd,16,3,211,7,0,1
Johnny Parks,Johnson Ltd,19,6,197,9,0,1
Paul Mosley,Richardson Group,32,14,222,8,0,1
Kimberly Walker,Diaz LLC,30,11,194,5,0,1
Joel Weber,Ellis and Sons,31,8,444,0,0,1
Christine Warren DDS,Evans Ltd,26,3,463,9,0,1
Sean Miller,Rice PLC,25,19,244,7,0,1
David Kim,James-Burns,49,17,459,8,0,1
Valerie Lynch,Richards and Sons,4,2,37,6,0,0
Angela Wade PhD,Coleman-Maxwell,48,9,349,6,1,1
Jessica Robinson,Prince-Richardson,42,14,55,6,0,0
Crystal Cruz,Green-Barnett,46,13,303,0,0,1
Adrian Frye,Morgan-Allen,14,6,469,7,0,1
Jeff Jennings Jr.,Smith PLC,40,10,413,2,0,1
Aaron Smith,Chan-Douglas,5,2,310,2,1,1
Robin Rollins,Ramos and Sons,40,1,462,3,0,1
Kevin Long,"Mcgee, Russell and Walker",48,15,206,2,0,1
Jessica Lambert,Park-Thomas,47,8,471,1,0,1
Beth Jones DDS,"Ward, Miranda and Roberts",36,12,74,4,0,0
Travis Guzman,Ross Group,14,19,436,3,1,1
Maria Baker,Torres-Rice,31,9,468,2,0,1
Michelle Huff,Miller PLC,46,5,134,0,0,0
Heather Rogers,Wyatt-Young,42,16,144,7,0,1
Rebecca Johnson,Hendricks Ltd,29,17,35,8,0,0
Kimberly Vaughn,Norton-Cook,6,10,480,3,0,1
Marisa Sanders,Roach Ltd,26,7,226,4,0,1
Tyler Hayden,Weber Group,14,2,361,8,0,1
Anna Evans,"Young, Martinez and Ellis",29,19,423,7,0,1
Jane Diaz,"Murray, Willis and Hubbard",24,6,92,4,0,0
Jennifer Hoffman,Chandler and Sons,26,15,278,8,0,1
Dean Harrison,"Perry, Holmes and Smith",34,13,93,0,1,0
James Farley,Morris LLC,15,16,106,9,0,0
Rachel Sanchez,Reid-Taylor,6,7,32,0,0,0
Jason Rivera,"Lewis, Wilson and Benson",45,6,225,5,0,1
Tammy Wright,Bender-Mendez,3,15,355,8,0,1
Kelly Lloyd,Summers-Martin,19,3,18,1,1,0
Mary Wright,"Cook, Martin and Morgan",1,5,254,5,0,1
Daniel Steele,Foster-Bullock,35,11,457,6,0,1
Nicholas Hinton,Keller Ltd,49,11,350,6,0,1
Alicia Woods,"Russell, Jones and Allen",44,2,368,0,1,1
Jennifer Roberts,Smith-Johnson,22,9,428,4,0,1
Lisa Green,Schwartz-Obrien,17,19,359,7,0,1
Michael Williams,"Howard, George and Wallace",18,12,218,5,0,1
Melanie Morton,Dixon-Williams,47,1,132,6,1,1
Kathleen Houston,"Mitchell, Williams and Jones",17,15,120,7,0,0
Michael Robinson,Swanson and Sons,42,14,442,2,0,1
Andre Harrington,Simmons Ltd,31,2,24,4,1,0
Clarence Lawson,Chang Ltd,5,18,52,0,1,0
Margaret Flores,Leon-Stewart,18,8,399,2,1,1
Robin Farley,Wright-Nelson,48,7,115,4,0,0
Amy Baldwin,Kennedy-Fields,15,14,460,9,0,1
Katherine Phelps,"Cooper, Welch and Hoffman",3,12,340,9,0,1
Cody Horn,Fischer Inc,28,17,404,5,0,1
Carl Hicks,Harvey LLC,15,12,168,4,0,0
April Whitehead,Kelly Inc,14,11,403,7,1,1
Jonathan Allen,Wright and Sons,31,18,316,9,1,1
Dennis Ochoa,"Johnson, Valdez and Hayes",39,14,361,0,1,1
Carl Jacobs,"Carpenter, Baldwin and Tyler",20,8,129,8,0,0
Susan Richardson,"Blankenship, Owens and Hartman",2,7,299,8,1,1
Alan Moore,Myers-Miller,20,11,209,8,0,1
Michael Thompson Jr.,Nunez Group,15,3,474,2,0,1
Kathryn Hansen,Calderon and Sons,44,7,422,7,0,1
Matthew Little,Shaffer Group,12,11,450,9,0,1
Sharon Hull,"Potter, Johnson and Marshall",34,18,396,6,0,1
Amber Perez,"Rice, Jones and Oliver",14,5,257,6,0,1
Tina Ruiz,Green-Hernandez,17,6,454,0,0,1
Steve Lyons,Reed-Webb,6,7,375,2,0,1
Austin Parker,Martinez PLC,38,6,64,2,0,0
Jason Garcia,Schmidt-Watkins,10,4,396,2,0,1
Carolyn Larson,Sharp Ltd,38,16,189,6,1,1
Misty Alvarado MD,"Cabrera, Williams and Clark",39,9,235,6,0,1
Danielle Hudson,"Garcia, Stephens and Miller",8,17,465,6,0,1
Leslie Scott,Alvarez-Wright,2,5,206,6,1,1
Todd Moss,"Trevino, Marshall and Rodgers",16,10,356,6,0,1
Timothy Ferguson,Ramirez Ltd,36,6,355,8,0,1
Aaron Diaz,Ellison-Smith,25,14,186,1,0,1
Sharon Brown,Reed-Thompson,15,15,81,8,1,0
Tyler Hamilton,Terry-Bernard,30,14,30,7,0,0
Gina Combs,Watkins Inc,35,5,248,1,0,1
Mark Gutierrez,Chaney-Bell,27,12,421,8,0,1
Antonio Gonzalez,Perez-Bright,48,2,484,7,1,1
Gary Chambers,Gregory-Miller,27,1,301,2,0,1
Stephanie Daniel,Harris-Lane,22,5,285,4,0,1
April Marshall,Lawrence-Cherry,15,14,461,4,0,1
Brittany Garcia,Hickman-Gilbert,45,18,304,0,1,1
Elizabeth Cole,Cruz Ltd,7,2,414,1,1,1
Deanna Huang,"Watkins, Mcintyre and Hoover",5,1,287,2,0,1
Annette Bowers,Carroll PLC,36,4,171,1,0,1
Cheryl Martinez,Patel-Trujillo,28,3,442,7,0,1
Pamela Johns,"Hall, Parker and Williamson",26,14,419,5,0,1
Brad Burke,"Kennedy, Charles and Hayes",44,11,245,0,0,1
Anthony Zuniga,Wagner-Griffith,14,18,458,5,0,1
Marcus Norman DDS,Johnson-Frost,11,15,105,4,1,0
Ashley Donaldson,Marquez-Harvey,11,4,395,1,0,1
Laura Miller,Grant-Lee,38,15,92,8,1,0
Karina Garcia,"Barrett, Murray and Cunningham",18,19,223,4,1,1
Kayla Jackson,Le-Dalton,14,9,441,8,0,1
Stephanie Case,Green-Poole,1,8,179,2,0,0
Phyllis Brown,Rodriguez-Bates,32,17,44,8,0,0
Wendy Green,Hickman and Sons,5,2,388,9,0,1
Paula Holland,Mills-Horton,21,4,140,9,0,0
Catherine Green,"Sheppard, Hall and Thomas",49,9,333,7,0,1
Ryan Carroll,Adams-Davis,12,16,233,4,0,1
Brian Webster,Hernandez-Marquez,45,18,201,7,0,1
Kim Perez,Cooper-Rodriguez,21,16,35,0,0,0
Rebecca Kim,Jensen Group,24,14,93,4,0,0
Debra Smith,"Aguilar, Winters and Baxter",40,4,341,4,0,1
Jessica Johnson,"Lane, Cruz and Powell",28,6,84,8,0,0
Crystal Lane,Copeland and Sons,29,12,477,4,0,1
Chase Bernard,"Green, Rose and Vargas",34,3,92,0,1,0
Jeremy Hernandez,Kennedy-Navarro,41,14,35,1,0,0
Donald Walker,"Parker, Huerta and Christian",12,12,14,2,0,0
Janice Curtis,Brown-Gray,15,4,417,8,0,1
Rachel Dickson,Ho-Roberts,17,14,305,5,0,1
Eric Sanchez,Holmes-Stevenson,41,6,431,0,0,1
Brent Casey,Johnson and Sons,28,11,301,0,1,1
Darren Tyler,Bailey-Pena,23,9,298,7,0,1
Barbara Whitney,"Edwards, Willis and Bullock",27,14,346,7,0,1
Lonnie Cantrell,White-Green,20,2,425,1,1,1
Daniel Abbott,"Cortez, Martinez and Crawford",8,15,279,2,0,1
David Black,Keller-Townsend,37,11,35,5,0,0
Michael Green,Nelson-Cruz,36,16,322,6,0,1
James Stark,Adams-Morris,1,13,206,6,0,1
Benjamin Wright,Duncan-Blake,14,10,423,4,0,1
Lisa Sanders,Lee-Martinez,6,18,467,6,0,1
Stacy Ross,Underwood Inc,1,3,244,5,0,1
Robert Dixon,Ferguson-Curry,20,6,368,2,0,1
Christian Hansen,Bowman-Morris,3,1,47,2,0,0
Brooke Wright,Smith LLC,11,19,251,6,0,1
Christopher Lucas,Singh-Sanchez,10,7,423,6,0,1
Jesse Nichols,"Rocha, Ryan and Sanders",49,8,126,1,1,1
Joshua Avery,Crawford-Roberts,24,12,491,3,0,1
Ryan Moore,Taylor Ltd,3,14,230,2,0,1
Tina Peters,"Ward, Mckenzie and Burns",22,5,93,5,0,0
Patricia Nixon,Simpson-Mills,33,11,337,9,0,1
Troy Stafford,"Walker, Montgomery and Wilson",10,5,491,0,0,1
Patricia Vance,Castillo-Hoffman,16,7,397,3,0,1
Adam Richards,Rodriguez Group,16,13,52,5,1,0
Albert Stevens,"Jones, Evans and Webster",12,13,27,6,1,0
Randy Butler,"Harper, Obrien and Smith",2,1,165,1,0,0
Brittany Santos,Castro Inc,37,14,167,5,1,1
Anthony Jones,Thomas-Berger,2,18,407,5,1,1
Wanda Perry,Evans PLC,43,16,273,5,0,1
Tiffany May,"Cooke, Hall and Wilson",36,15,352,2,1,1
April Beck,Hines-Dyer,26,13,410,4,0,1
Sonya Kelly,Baker LLC,16,17,387,7,0,1
Michael Duke,"Burton, Burns and Brown",20,7,370,1,1,1
Robert Freeman,Beck Inc,35,13,128,7,0,0
Richard Miller,Sanchez Ltd,5,16,135,0,1,1
Patrick Hill,Bennett and Sons,40,3,467,5,0,1
Zachary Williams,Hamilton-Kane,41,5,132,7,0,0
Raven Martinez,Vaughn PLC,6,17,46,4,0,0
Melissa Hart,Frank LLC,21,17,484,1,0,1
Jason Cook,Edwards PLC,21,16,90,9,0,0
Sandra Ashley,Jimenez-Murphy,3,15,158,1,0,0
Timothy Ford,"Hudson, Blair and Sanchez",11,3,144,6,0,0
Amy Sexton,"Rodriguez, Quinn and Jones",48,7,238,5,0,1
Alicia Lee,"Price, Gallegos and Doyle",8,17,494,2,1,1
Christina Black,"Gonzalez, Porter and Nielsen",28,11,140,3,0,0
